name,description,stars,install_command,verified,repo_url,screenshots
PicGo,":rocket: The Ultimate Image Uploader for Efficient Creators. Supports Obsidian, Typora, VS Code etc. and 60+ image hosting services (S3, GitHub, Cloudflare R2, Imgur, Aliyun OSS...). Paste, upload, done.",27228,dsh plugin --profile web add @picgo/dsh-plugin,true,https://github.com/Molunerfinn/PicGo,https://repository-images.githubusercontent.com/113965016/881edd8a-cd36-45ca-9155-f8b6d480ee0d;https://raw.githubusercontent.com/Molunerfinn/PicGo/HEAD/chart.png;https://raw.githubusercontent.com/Molunerfinn/PicGo/dev/assets/picgo-v3.gif;https://user-images.githubusercontent.com/12621342/34242310-b5056510-e655-11e7-8568-60ffd4f71910.gif
planning-with-files,"Persistent file-based planning for AI coding agents and long-running tasks. Crash-proof markdown plans, session recovery after /clear and compaction, per-turn re-injection against context rot, deterministic completion gate. Manus-style. Install from npm, the Claude Code plugin marketplace, or npx skills. Codex, Cursor, OpenCode, 60+ agents.",27036,dsh plugin --profile web add dsh-planning-with-files,true,https://github.com/OthmanAdi/planning-with-files,https://raw.githubusercontent.com/OthmanAdi/planning-with-files/HEAD/media/v3-banner-1400.jpg;https://raw.githubusercontent.com/OthmanAdi/planning-with-files/HEAD/media/terminal-without-plan.svg;https://raw.githubusercontent.com/OthmanAdi/planning-with-files/HEAD/media/terminal-with-plan.svg;https://raw.githubusercontent.com/OthmanAdi/planning-with-files/HEAD/media/benchmark-skill-vs-baseline.svg
dsh-web,"Add a task board, git graph, and mobile remote UI",7883,dsh plugin --profile web add @linxin666/dsh-web-all@latest,true,https://github.com/zhu1090093659/dsh-web,https://repository-images.githubusercontent.com/1331636953/92532ed5-4f7c-483c-b5da-561e151ce4ba;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/13-hero-main.png;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/31-market-home.png;https://raw.githubusercontent.com/zhu1090093659/dsh-web/HEAD/docs/screenshots/09-task-board.png
dsh-routing-suite,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then the task-aware reasoning-mode router preset (measured P1-P23).",7205,dsh plugin --profile web add github:yjh051108/dsh-routing-suite,true,https://github.com/yjh051108/dsh-routing-suite,
talebook,一个简单好用的个人书库,5782,dsh plugin --profile web add github:hehetoshang/dsh-talebook-plugin,true,https://github.com/talebook/talebook,https://raw.githubusercontent.com/talebook/talebook/HEAD/document/screenshot.png
dsh-market,Browse and install plugins without leaving the app,4294,dsh plugin --profile web add dshmarket,true,https://github.com/dsh-market/dsh-market,https://repository-images.githubusercontent.com/1333807290/51c9f9f8-c50f-4ee6-b6b2-530eef08cb16;https://raw.githubusercontent.com/dsh-market/dsh-market/HEAD/assets/demo-en.png;https://raw.githubusercontent.com/dsh-market/dsh-market/HEAD/assets/logo.svg
modlens,Paste an image and get structured evidence back,4001,dsh plugin --profile web add @liustack/modlens@3.25.4,false,https://github.com/liustack/modlens,https://repository-images.githubusercontent.com/1163808211/158719db-2ed8-4e7d-92ae-a3d9fc62a9d2;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-dsh-settings-card.jpg;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-dsh-paste.jpg;https://raw.githubusercontent.com/liustack/modlens/main/assets/demo-codex-app.jpg
DSH-better-sidebar,Get an open sidebar foundation other plugins can register into,3694,dsh plugin --profile web add dsh-better-sidebar@latest,true,https://github.com/omdsh-dev/DSH-better-sidebar,https://raw.githubusercontent.com/omdsh-dev/DSH-better-sidebar/HEAD/img.png;https://github.com/user-attachments/assets/991c4b70-d45a-461f-a8c8-0a28b4218e60;https://github.com/user-attachments/assets/a410bfd2-a8ba-43e6-873e-22417756e94d;https://github.com/user-attachments/assets/fe0e5182-55bb-45cc-b98b-a2877c2bdd38
dsh-TUI,Run DSH in a Claude Code style terminal UI,3126,dsh plugin --profile dsh-tui add @deepseek-harness-tui/dsh-tui,true,https://github.com/ccch1mneyyy/dsh-TUI,https://repository-images.githubusercontent.com/1333111893/38962da2-0233-4075-9b4a-5d409d73048b;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/bot-star-history/assets/star-history/star-history.png;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/HEAD/docs/assets/logo.svg;https://raw.githubusercontent.com/ccch1mneyyy/dsh-TUI/HEAD/screenshots/wechat-official.png
DeepSeek-Balance-Whale-Widget,DeepSeek Harness（DSH）一只住在 DSH 界面右下角的小鲸鱼娘，帮你盯着DeepSeek账户余额。QQ弹弹，支持拖拽吸附、左吸附翻转、数字滚动动画，随界面自动启用，建议直接喊来你的dsh安装,2840,dsh plugin --profile web add github:MeteorNOX/DeepSeek-Balance-Whale-Widget,true,https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget,https://repository-images.githubusercontent.com/1337920628/e6acd957-9e35-4b7e-8158-383cc43d7ab3;https://raw.githubusercontent.com/MeteorNOX/DeepSeek-Balance-Whale-Widget/HEAD/assets/DSH2.png
